"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017"
6095,3/31/2023 0:00:00,2695,0,6500,665376,288,1,0,125170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123965,0,0,900,124865,0,0,0,0,0,93633647,0,0,0,0,0,0,0,0,Fiscal Year 2022,79000,101586807,0,0,0,0,0,0,0,0,0,0,0,131042,0,0,0,0,0,0,0,0,0
6102,3/31/2023 0:00:00,2698,0,0,1830031,0,1,798,251577,0,0,0,0,0,0,0,0,0,0,0,0,1653232,8404759,19503504,8323098,1924850,39809443,45,0,0,0,0,45,0,-4621677,0,3774,798,0,0,4572,0,0,0,0,0,88271435,0,0,0,0,0,0,0,0,01/01/2023,0,92845797,0,0,0,0,0,0,0,0,0,0,0,126696,0,0,0,0,0,0,0,0,0
6112,3/31/2023 0:00:00,2703,0,0,25096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,1600000,0,0,0,2800000,0,0,0,0,0,0,0,0,0,0,0,0,0,6182678,0,0,0,0,0,0,0,0,,0,6892324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6116,3/31/2023 0:00:00,2706,0,0,760190,0,1,0,229596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34434565,0,0,0,0,0,0,0,0,Fiscal Year 2023,213534,37458712,0,0,0,0,0,0,0,0,0,0,0,60632,0,0,0,0,0,0,0,0,0
6134,3/31/2023 0:00:00,2718,0,141433,15150,0,1,0,79975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79975,0,0,0,79975,0,0,0,0,0,8817251,0,0,0,0,0,0,0,0,01/01/2023,77002,12586575,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
6144,3/31/2023 0:00:00,2726,0,0,17602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398000,896000,248000,0,0,1542000,0,0,0,0,0,0,0,0,0,0,0,0,0,6921726,0,0,0,0,0,0,0,0,,0,7700621,0,0,0,0,0,0,0,0,0,0,0,4775,0,0,0,0,0,0,0,0,0
6150,3/31/2023 0:00:00,2731,0,155988,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170932,2965859,176717,0,0,4313508,0,0,0,0,0,0,0,-274492,0,0,0,0,0,0,0,0,0,0,0,12150992,0,0,0,0,0,0,0,0,,0,14688906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9353,0,0,0,0,0,0
6160,3/31/2023 0:00:00,2737,0,16524756,2232033,0,1,0,6801113,0,0,0,0,0,0,63714,0,0,0,0,63714,287801,360109,5028509,10005232,4082207,19763858,0,0,0,0,0,0,0,-3336731,0,1693231,0,0,0,1693231,0,0,0,0,0,809893048,0,0,0,0,0,0,0,0,01/01/2023,2164013,876208908,0,0,0,0,0,0,0,0,0,0,0,987195,0,0,-180,409,4515895,0,0,0,0
6175,3/31/2023 0:00:00,2746,0,0,303733,0,1,0,138654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27713,0,0,0,27713,0,0,0,250000,0,0,0,250000,0,0,0,0,0,36664424,0,0,0,0,0,0,0,0,01/01/2023,0,42695463,0,0,0,0,0,0,0,0,0,0,0,100471,0,0,0,0,0,0,0,0,0
6178,3/31/2023 0:00:00,2749,0,35000,7538942,23061655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10479643,8882148,6169868,2785389,0,28317048,0,0,0,0,0,0,0,-1276200,0,0,0,0,0,0,0,0,0,0,0,2460230955,2,25164,25164,0,0,0,2,25164,,0,2747377378,0,0,0,0,0,0,0,0,0,0,0,9093772,0,682092,-46,0,0,0,0,0,0
